"iris_id","actifs_2006","chom_2006","empl_2006","ouvrier_2006","TP_2006","Int_2006","app_stage_2006","cdd_2006","rev_2006","HLM_2006","no_transp_2006","walk_2006","moto_2006","voit_2006","TC_2006","HH_2006","HH_moins2ans_2006","HH_2_4ans_2006","HH_5_9ans_2006","HH_plus10ans_2006","HH_with_park_2006","HH_with_voit_2006","HH_1voit_2006","HH_2voit_2006","pop_2006","tx_chom_2006","tx_empl_2006","tx_ouvr_2006","tx_TP_2006","tx_HLM_2006","tx_no_transp_2006","tx_walk_2006","tx_moto_2006","tx_voit_2006","tx_TC_2006","tx_HH_moins2ans_2006","tx_HH_2_4ans_2006","tx_HH_5_9ans_2006","tx_HH_plus10ans_2006","tx_HH_with_park_2006","tx_HH_with_voit_2006","tx_HH_1voit_2006","tx_HH_2voit_2006","tx_empl_prec_2006"
"060640000",1881.0,140.0,456.0,369,231.0,25,37,96.0,#N/A,108,44.0,72.0,64,1393.0,60.0,1514.0,146.0,239.0,298.0,831.0,1210.0,1407.0,613.0,794.0,4018,7.442849548,24.24242424,19.61722488,12.28070175,2.68790443,2.339181287,3.827751196,3.402445508,74.056353,3.189792663,7.761828814,12.70600744,15.8426369,44.17862839,64.32748538,74.80063796,32.58904838,42.21158958,8.399787347
"060650101",1836.025426,139.942987,539.850209,260.838054,242.429814,10.214311,24.60195455,105.213174,"20815",3.152785,24.259139,56.742662,52.1342,1519.046708,39.560784,1442.560478,132.070119,221.548051,295.238172,793.704136,1146.539189,1361.990132,527.696479,834.293653,3873.417916,7.622061493,29.40319896,14.20666894,13.20405538,0.081395426,1.321285569,3.090516133,2.839514054,82.73560303,2.154696958,7.193261985,12.0667202,16.08028777,43.2294741,62.44680345,74.18144176,28.74124026,45.44020149,7.626770173
"060650102",1342.540659,115.334218,333.085976,137.955321,172.823847,5.032639,15.71618191,77.80791,"20815",0,12.296424,24.499281,32.016364,1066.235775,44.107091,994.439522,151.1799,142.191002,183.878636,517.189984,917.3176,954.648758,322.332446,632.316312,2734.582084,8.590743023,24.81012204,10.27569035,12.87289482,0,0.915907009,1.824844621,2.384759358,79.41925392,3.285344895,11.26073158,10.59118776,13.69631786,38.52322688,68.32698837,71.10762356,24.00913848,47.09848508,7.341061163
"060660000",718.89234,44.254658,216.356108,196.687371,99.327122,11.801242,9.823898858,33.436853,"17727",60.973085,35.403727,31.469979,43.271222,570.393375,19.668737,556.625259,74.741201,102.277433,118.012422,261.594203,324.534161,517.287785,263.561077,253.726708,1425,6.155950695,30.09575926,27.35978116,13.81668944,4.278812982,4.924760639,4.377564936,6.019151908,79.34336524,2.735978102,10.39671684,14.22708621,16.41586861,36.38850888,45.14363875,71.95622435,36.66210673,35.29411761,7.659282315
"060670000",607.920385,49.348393,225.028671,94.748914,81.918332,8.882711,4.729553648,41.45265,"20130",27.6351,27.6351,23.557539,63.165943,461.900956,23.687228,475.718506,57.244136,70.074718,99.683753,248.715899,317.803649,426.370113,219.106864,207.263249,1279.375,8.117574968,37.01614168,15.58574385,13.47517438,2.160046898,4.545841969,3.875102658,10.39049595,75.9805013,3.89643588,9.416386983,11.52695645,16.39750129,40.91257756,52.27718248,70.13584731,36.04203271,34.0938146,9.057915478
"060680000",215.0,18.0,60.0,32,27.0,0,0,20.0,"17633",0,8.0,16.0,12,160.0,0.0,176.0,12.0,41.0,33.0,90.0,123.0,169.0,71.0,98.0,437,8.372093023,27.90697674,14.88372093,12.55813953,0,3.720930233,7.441860465,5.581395349,74.41860465,0.0,5.581395349,19.06976744,15.34883721,41.86046512,57.20930233,78.60465116,33.02325581,45.58139535,9.302325581
"060690101",1460.709608,243.594505,486.151962,392.105001,181.045999,23.300493,10.66198636,143.977505,"14831",146.705106,34.454734,135.41623,54.313015,870.837329,116.63962,1291.780304,209.95045,343.586062,283.202211,455.041581,521.364363,1090.873422,706.136839,384.736583,3140.830166,16.67644983,33.28190349,26.84346011,12.39438681,4.670902222,2.358766849,9.270578441,3.718262323,59.61741637,7.985134031,14.37318197,23.52185952,19.38798851,31.15209064,35.69254013,74.68106022,48.3420411,26.33901912,12.18174943
"060690102",1559.182466,129.28034,475.294499,309.795038,180.849312,19.112473,37.08166005,89.705573,"18625",114.020357,49.476414,46.87181,42.161714,1259.749009,39.909553,1438.530619,150.848313,333.913013,319.52722,634.242073,1011.966245,1261.061021,673.756159,587.304862,3629.708227,8.291546552,30.48357132,19.86906887,11.59898318,3.14130916,3.173227963,3.006178624,2.704091081,80.7954833,2.559646088,9.67483385,21.41590354,20.4932538,40.67786079,64.90364451,80.87963074,43.21214314,37.6674876,9.357449127
"060690103",1262.227878,110.89148,359.509511,322.417993,131.64775,14.807812,41.00869693,94.840409,"16405",0,36.990688,159.758591,40.18386,835.499324,89.209546,1421.085159,189.743108,423.891657,321.746425,485.703969,722.740832,1042.522206,784.835091,257.687115,2824.658559,8.785377184,28.48213997,25.54356457,10.42979261,0,2.93058715,12.65687391,3.183566193,66.19243154,7.067626025,15.03239718,33.58281531,25.49035959,38.47989555,57.25914033,82.59381877,62.17855782,20.41526094,11.93579389
"060690104",1621.812127,115.519078,474.404229,238.674853,208.229176,22.004706,26.30660908,78.716345,"19904",171.864351,56.254937,28.105901,60.482222,1354.737141,22.071353,1432.326425,209.719392,329.676261,267.288406,625.642366,1259.002776,1290.996595,658.965709,632.030887,3553.082256,7.122839697,29.25149104,14.71655373,12.83929085,4.837049599,3.468646958,1.732993639,3.729298912,83.53231046,1.360906891,12.93117671,20.32764804,16.48084889,38.57674731,77.62938475,79.60210517,40.63144541,38.97065982,7.832452228
